Wind Speed (m/s),Terrain Type,Land Use,Grid Connectivity (km),Environmental Impact,Economic Viability,wind_speed (m/s),wind_direction (degrees),temperature (C),humidity (%),seasonal_variation,elevation (m),proximity_to_power_lines (km),wildlife_habitats_nearby,protected_areas_nearby,zoning_laws,permit_status,accessibility,community_acceptance,installation_cost (million $),energy_output_potential (MW),Optimal for Turbine
10.02,Mountainous,Agricultural,0.81,4,7,5.56,232,9.1,60,Moderate,41,14.28,No,Yes,No,Approved,Moderate,Low,18.95,3.65,0
13.71,Mountainous,Forest,2.92,3,7,9.58,105,-9.9,68,High,619,0.47,No,No,Yes,Approved,Moderate,High,37.67,6.76,1
7.59,Mountainous,Residential,18.8,7,7,10.64,86,23.6,23,High,1856,11.05,No,Yes,No,Rejected,Good,High,22.56,6.1,0
12.21,Hilly,Residential,12.66,4,2,13.21,6,25.8,18,Moderate,1609,2.6,Yes,No,Yes,Pending,Moderate,High,8.68,12.95,0
8.31,Mountainous,Commercial,19.91,2,3,14.01,242,1.3,77,High,2426,12.34,No,Yes,Yes,Pending,Poor,High,4.86,0.74,0
12.86,Hilly,Residential,9.16,1,5,13.75,200,32.2,39,Low,1728,0.92,Yes,Yes,Yes,Rejected,Good,High,6.82,13.45,0
13.54,Mountainous,Forest,3.19,4,7,9.41,113,-8.8,65,High,727,0.46,No,No,Yes,Approved,Good,High,36.78,6.54,1
9.43,Mountainous,Agricultural,6.95,10,4,4.74,302,25.6,21,Moderate,1123,0.96,Yes,Yes,No,Pending,Good,Moderate,24.82,6.52,0
13.86,Mountainous,Forest,2.84,3,8,9.67,106,-9.2,67,High,651,0.43,No,No,Yes,Approved,Moderate,High,37.89,6.89,1
13.06,Hilly,Residential,13.03,3,5,5.16,245,19.7,87,Moderate,996,4.61,No,No,No,Approved,Good,Moderate,16.31,6.21,0
14.89,Flat,Agricultural,11.61,9,4,8.24,127,-5.7,14,High,2792,10.64,No,Yes,Yes,Rejected,Moderate,Moderate,1.96,7.74,0
14.07,Mountainous,Agricultural,13.8,9,10,8.79,229,14.1,85,Moderate,196,12.32,Yes,Yes,No,Pending,Poor,Moderate,38.44,1.43,0
13.39,Mountainous,Forest,3.23,4,6,9.44,114,-7.7,66,High,741,0.42,No,No,Yes,Approved,Good,High,37.12,6.63,1
7.95,Flat,Residential,14.31,10,5,9.36,7,26.3,30,Moderate,1543,3.66,Yes,No,No,Pending,Moderate,High,37.67,13.32,0
13.97,Mountainous,Forest,2.99,3,7,9.62,107,-8.5,68,High,667,0.45,No,No,Yes,Approved,Moderate,High,37.56,6.71,1
7.55,Hilly,Agricultural,16.23,1,6,6.21,328,9.4,87,High,811,14.44,Yes,Yes,No,Approved,Moderate,High,36.34,7.99,0
13.48,Mountainous,Forest,3.11,4,7,9.47,101,-9.4,69,High,693,0.48,No,No,Yes,Approved,Good,High,36.89,6.46,1
13.71,Hilly,Commercial,17.74,1,1,8.7,158,8.3,30,Low,2979,2.53,No,No,No,Pending,Moderate,Low,25.98,7.55,0
13.22,Mountainous,Forest,3.27,3,8,9.53,99,-8.3,65,High,715,0.41,No,No,Yes,Approved,Moderate,High,37.34,6.68,1
10.2,Flat,Commercial,11.84,9,1,11.9,121,-9.0,84,Low,2368,14.38,Yes,Yes,Yes,Rejected,Moderate,High,2.3,13.38,0
7.03,Hilly,Residential,3.94,4,5,10.97,201,11.1,52,Moderate,363,1.44,No,Yes,No,Approved,Good,Moderate,6.73,7.31,0
13.59,Mountainous,Forest,2.81,4,7,9.59,110,-9.7,68,High,629,0.44,No,No,Yes,Approved,Good,High,37.78,6.83,1
4.91,Mountainous,Forest,15.61,4,4,4.87,42,-8.1,66,Moderate,1154,12.42,Yes,Yes,No,Approved,Good,Low,29.97,2.36,0
13.33,Mountainous,Forest,3.14,3,7,9.52,103,-7.6,66,High,706,0.47,No,No,Yes,Approved,Moderate,High,37.45,6.57,1
14.05,Flat,Agricultural,13.92,10,4,11.97,80,14.9,83,Low,927,4.51,Yes,No,Yes,Approved,Good,Moderate,3.29,14.86,0
13.75,Mountainous,Forest,3.06,4,6,9.43,108,-8.1,67,High,698,0.46,No,No,Yes,Approved,Good,High,36.67,6.42,1
9.59,Mountainous,Agricultural,5.11,10,2,5.69,260,24.4,16,High,138,7.88,No,Yes,Yes,Pending,Poor,Moderate,7.93,12.23,0
8.87,Hilly,Agricultural,18.69,4,9,9.86,181,-4.9,61,High,2344,14.34,No,Yes,Yes,Rejected,Poor,Low,16.48,3.28,0
13.41,Mountainous,Forest,2.93,3,8,9.65,104,-9.6,67,High,642,0.43,No,No,Yes,Approved,Moderate,High,37.89,6.79,1
4.48,Mountainous,Forest,17.45,5,9,4.93,112,21.6,24,Moderate,1935,14.61,Yes,Yes,No,Approved,Good,Low,43.55,1.46,0
11.09,Hilly,Commercial,14.05,1,6,9.67,284,33.9,48,Moderate,1997,13.33,No,Yes,No,Rejected,Poor,High,25.2,11.17,0
13.26,Mountainous,Forest,3.18,4,7,9.48,112,-7.4,65,High,732,0.45,No,No,Yes,Approved,Good,High,37.23,6.52,1
9.98,Flat,Agricultural,16.68,1,9,14.62,103,-7.4,40,Moderate,2671,9.73,Yes,Yes,No,Rejected,Moderate,Moderate,6.9,13.45,0
5.77,Hilly,Agricultural,5.46,1,8,12.44,322,0.6,48,High,1161,3.22,No,Yes,No,Pending,Poor,Low,40.58,14.12,0
10.97,Hilly,Agricultural,18.76,7,6,13.62,155,-6.4,37,Low,1477,10.26,No,Yes,Yes,Pending,Moderate,Moderate,13.29,8.25,0
13.64,Mountainous,Forest,2.88,3,7,9.61,105,-8.9,68,High,624,0.42,No,No,Yes,Approved,Moderate,High,37.56,6.74,1
8.21,Hilly,Forest,17.21,9,10,7.11,28,7.0,46,Moderate,1707,4.1,Yes,No,Yes,Pending,Moderate,Moderate,28.03,9.59,0
7.77,Mountainous,Residential,11.66,6,6,4.72,148,2.6,18,Low,2795,10.32,No,No,Yes,Approved,Moderate,Moderate,18.04,3.51,0
13.37,Mountainous,Forest,3.22,4,6,9.45,109,-7.3,66,High,719,0.48,No,No,Yes,Approved,Good,High,36.84,6.48,1
5.56,Hilly,Agricultural,2.94,9,5,9.39,90,-5.0,28,Moderate,1056,1.12,Yes,Yes,Yes,Rejected,Moderate,High,13.07,6.74,0
13.82,Mountainous,Forest,3.07,3,8,9.64,106,-8.7,67,High,654,0.41,No,No,Yes,Approved,Moderate,High,37.67,6.81,1
4.36,Mountainous,Residential,16.07,8,2,4.26,58,8.5,50,Moderate,2556,6.2,No,Yes,Yes,Rejected,Moderate,Moderate,40.62,7.6,0
13.44,Mountainous,Forest,2.95,4,7,9.57,107,-9.1,68,High,636,0.44,No,No,Yes,Approved,Good,High,37.34,6.65,1
7.53,Hilly,Agricultural,4.32,6,3,9.6,163,34.4,36,High,2647,6.17,No,Yes,Yes,Approved,Moderate,High,37.44,11.59,0
4.45,Hilly,Forest,13.42,1,3,7.12,230,-7.2,49,Moderate,2846,4.11,No,No,No,Rejected,Poor,Low,13.85,13.46,0
13.31,Mountainous,Forest,3.24,3,7,9.51,101,-8.5,65,High,708,0.46,No,No,Yes,Approved,Moderate,High,37.45,6.59,1
12.31,Hilly,Forest,15.96,9,7,5.6,14,-5.2,63,Moderate,581,6.36,Yes,No,Yes,Pending,Poor,Moderate,41.73,4.08,0
8.23,Mountainous,Agricultural,2.67,8,8,7.23,274,19.8,69,Moderate,1325,5.37,No,No,No,Pending,Poor,Moderate,27.42,4.52,0
13.68,Mountainous,Forest,2.91,4,6,9.46,113,-7.8,66,High,687,0.43,No,No,Yes,Approved,Good,High,36.92,6.47,1
11.51,Mountainous,Residential,19.81,6,9,7.89,13,-3.2,89,Low,1716,12.52,Yes,No,No,Approved,Poor,High,28.39,11.99,0
4.09,Mountainous,Agricultural,12.06,9,6,6.9,68,2.7,75,Moderate,600,0.41,Yes,Yes,No,Approved,Moderate,Moderate,21.49,8.29,0
13.52,Mountainous,Forest,3.15,3,8,9.54,104,-8.8,67,High,671,0.45,No,No,Yes,Approved,Moderate,High,37.78,6.72,1
4.52,Hilly,Residential,2.37,4,1,7.98,267,19.4,83,High,377,13.55,Yes,No,No,Pending,Good,High,27.27,7.76,0
13.46,Mountainous,Forest,3.02,4,7,9.49,110,-7.5,65,High,694,0.42,No,No,Yes,Approved,Good,High,37.23,6.56,1
13.65,Mountainous,Commercial,4.79,8,6,10.34,203,1.4,82,Moderate,2150,9.42,No,Yes,Yes,Rejected,Poor,Low,46.14,6.28,0
12.55,Hilly,Residential,11.79,9,7,5.0,301,11.2,45,High,662,6.78,No,Yes,Yes,Rejected,Good,High,16.84,10.06,0
7.88,Mountainous,Commercial,16.59,5,6,5.21,349,9.2,57,Moderate,1232,5.9,No,No,No,Pending,Poor,Moderate,30.51,10.44,0
12.11,Mountainous,Agricultural,6.32,8,10,11.72,290,27.9,59,High,1022,4.88,No,No,No,Pending,Moderate,Moderate,43.93,2.62,0
13.73,Mountainous,Forest,2.86,3,7,9.62,108,-9.3,68,High,628,0.44,No,No,Yes,Approved,Moderate,High,37.89,6.77,1
14.08,Mountainous,Forest,15.18,5,3,12.54,284,22.6,29,Low,2753,12.89,No,Yes,No,Pending,Poor,Moderate,22.71,10.36,0
12.18,Mountainous,Residential,5.64,3,5,7.01,112,-4.9,47,Moderate,2202,10.69,Yes,No,Yes,Rejected,Poor,Low,11.2,5.85,0
13.57,Mountainous,Forest,3.12,4,6,9.44,111,-7.9,66,High,703,0.47,No,No,Yes,Approved,Good,High,36.78,6.44,1
10.58,Mountainous,Commercial,14.25,8,8,6.34,43,26.5,88,High,1635,6.86,No,Yes,Yes,Approved,Good,Moderate,28.79,12.37,0
7.72,Mountainous,Commercial,15.46,7,3,10.38,2,20.0,11,High,2421,14.15,No,Yes,Yes,Rejected,Moderate,Low,43.98,14.03,0
13.62,Mountainous,Forest,2.98,3,8,9.58,105,-8.6,67,High,659,0.45,No,No,Yes,Approved,Moderate,High,37.56,6.75,1
14.34,Hilly,Residential,11.14,10,9,12.48,260,-3.4,11,Low,449,14.44,No,Yes,No,Approved,Moderate,Moderate,49.55,12.73,0
13.49,Mountainous,Forest,3.21,4,7,9.47,109,-7.6,65,High,725,0.46,No,No,Yes,Approved,Good,High,37.12,6.53,1
6.51,Mountainous,Agricultural,0.69,4,5,5.83,316,16.6,30,Low,1451,11.83,Yes,Yes,No,Pending,Moderate,Moderate,48.97,11.19,0
13.77,Mountainous,Forest,3.04,3,7,9.63,107,-9.0,68,High,647,0.43,No,No,Yes,Approved,Moderate,High,37.67,6.78,1
7.44,Hilly,Residential,1.32,1,8,4.7,123,22.4,66,High,754,5.66,Yes,No,No,Pending,Moderate,Low,2.27,1.41,0
13.43,Mountainous,Forest,2.89,4,6,9.52,112,-8.4,66,High,622,0.44,No,No,Yes,Approved,Good,High,37.34,6.62,1
8.78,Flat,Forest,10.76,10,5,6.57,226,31.3,90,High,2468,13.63,Yes,No,Yes,Rejected,Poor,Moderate,36.7,9.38,0
11.14,Hilly,Forest,9.39,5,3,9.64,23,12.5,68,High,179,10.25,Yes,Yes,Yes,Pending,Good,Moderate,13.49,4.06,0
14.85,Flat,Agricultural,14.52,4,10,4.34,268,34.0,71,High,2593,12.47,No,Yes,No,Pending,Good,Low,49.47,9.87,0
5.59,Mountainous,Residential,1.15,5,6,10.54,44,27.2,34,Moderate,2585,6.82,No,Yes,Yes,Pending,Good,High,36.5,7.76,0
13.58,Mountainous,Forest,3.17,4,6,9.45,110,-7.7,66,High,697,0.48,No,No,Yes,Approved,Good,High,36.89,6.46,1
6.67,Flat,Residential,14.54,7,9,4.3,299,23.6,11,Moderate,1333,4.28,Yes,Yes,Yes,Rejected,Poor,Low,5.47,9.61,0
11.28,Hilly,Commercial,11.17,2,7,12.92,161,-0.6,51,High,1570,5.07,No,No,Yes,Approved,Good,Low,40.95,1.77,0
13.72,Mountainous,Forest,2.94,3,8,9.61,106,-8.8,67,High,641,0.42,No,No,Yes,Approved,Moderate,High,37.89,6.76,1
10.82,Mountainous,Residential,2.54,6,8,12.29,150,10.7,45,Moderate,225,12.46,No,Yes,No,Approved,Good,Moderate,44.57,1.18,0
10.55,Flat,Agricultural,2.02,6,8,13.02,205,4.4,32,Moderate,1993,10.75,No,No,No,Pending,Poor,High,6.68,3.55,0
13.47,Hilly,Residential,14.17,4,8,4.27,151,11.3,47,Moderate,2903,3.51,No,No,No,Pending,Poor,Moderate,8.59,6.86,0
7.45,Flat,Commercial,9.86,6,9,5.74,271,6.4,58,Low,1368,4.45,No,Yes,No,Pending,Good,Moderate,12.24,13.12,0
13.66,Mountainous,Forest,3.08,4,7,9.48,113,-7.4,65,High,711,0.47,No,No,Yes,Approved,Good,High,36.84,6.45,1
11.53,Hilly,Residential,17.99,1,2,10.49,8,4.8,12,Low,2028,11.74,No,Yes,Yes,Pending,Good,Moderate,5.31,12.95,0
5.91,Flat,Commercial,10.1,10,3,10.56,305,17.0,30,Moderate,1613,2.28,Yes,No,No,Approved,Moderate,High,43.21,3.42,0
13.53,Mountainous,Forest,3.13,3,7,9.55,104,-8.3,66,High,682,0.45,No,No,Yes,Approved,Moderate,High,37.45,6.64,1
11.54,Flat,Agricultural,9.11,4,6,7.23,309,7.4,20,Moderate,2267,11.06,Yes,No,Yes,Pending,Poor,Low,47.5,6.54,0
5.17,Hilly,Commercial,15.79,2,8,6.56,257,-7.5,46,Moderate,2854,4.37,No,No,Yes,Pending,Poor,High,22.56,9.54,0
13.61,Mountainous,Forest,2.97,4,6,9.46,111,-8.2,66,High,688,0.46,No,No,Yes,Approved,Good,High,36.92,6.48,1
9.42,Hilly,Agricultural,4.74,5,10,12.1,245,4.1,38,Low,1232,1.27,Yes,No,No,Approved,Moderate,Moderate,12.69,13.77,0
13.74,Mountainous,Forest,3.11,3,8,9.62,107,-8.9,67,High,653,0.41,No,No,Yes,Approved,Moderate,High,37.67,6.8,1
13.04,Hilly,Forest,18.21,3,5,10.69,340,5.1,73,High,759,8.81,Yes,Yes,Yes,Approved,Moderate,Low,15.58,12.1,0
11.69,Flat,Residential,4.18,6,5,8.25,298,25.6,10,Moderate,2132,13.01,No,Yes,Yes,Pending,Moderate,Low,24.6,8.19,0
9.88,Hilly,Residential,8.31,3,2,8.34,66,28.1,53,Low,2749,7.21,No,Yes,No,Approved,Good,Moderate,40.81,3.28,0
8.36,Mountainous,Commercial,4.85,7,10,11.69,154,12.0,13,Moderate,474,13.09,No,Yes,Yes,Pending,Moderate,Low,11.85,6.28,0
4.4,Flat,Agricultural,8.97,3,7,8.76,10,8.0,80,High,1270,4.59,Yes,Yes,Yes,Approved,Good,Low,32.12,12.61,0
13.55,Mountainous,Forest,3.05,4,7,9.49,112,-7.8,65,High,696,0.48,No,No,Yes,Approved,Good,High,37.23,6.55,1
12.96,Hilly,Agricultural,10.81,7,3,7.34,204,28.6,61,High,2164,7.53,Yes,No,No,Approved,Good,Low,28.91,12.15,0
13.69,Mountainous,Forest,2.90,3,7,9.60,108,-9.4,68,High,631,0.43,No,No,Yes,Approved,Moderate,High,37.89,6.74,1
5.56,Mountainous,Commercial,12.68,9,1,7.36,294,28.2,61,High,566,7.42,Yes,No,No,Rejected,Poor,High,34.28,2.04,0
6.66,Mountainous,Forest,19.64,1,6,12.74,256,10.6,59,Moderate,1237,14.56,Yes,No,No,Rejected,Poor,Moderate,40.34,10.65,0
13.56,Mountainous,Forest,3.20,4,6,9.47,110,-7.9,66,High,705,0.47,No,No,Yes,Approved,Good,High,36.89,6.49,1
6.41,Mountainous,Commercial,3.47,8,5,5.48,168,8.2,20,Low,673,2.71,Yes,No,Yes,Pending,Poor,Moderate,2.64,11.57,0
6.95,Hilly,Forest,7.59,3,2,4.88,47,6.5,61,High,475,10.0,Yes,No,Yes,Rejected,Poor,High,48.04,10.31,0
13.65,Mountainous,Forest,3.03,3,8,9.56,105,-8.5,67,High,664,0.45,No,No,Yes,Approved,Moderate,High,37.56,6.69,1
6.41,Flat,Agricultural,1.53,3,5,10.21,244,-7.5,18,High,2689,6.27,Yes,Yes,Yes,Approved,Moderate,High,11.34,14.14,0
13.59,Mountainous,Forest,2.85,4,7,9.58,109,-9.8,68,High,618,0.44,No,No,Yes,Approved,Good,High,37.78,6.82,1
11.83,Mountainous,Residential,10.92,1,10,6.19,34,15.9,19,High,2187,7.83,Yes,Yes,No,Pending,Good,Moderate,8.81,1.45,0
13.67,Mountainous,Forest,3.16,4,6,9.45,113,-7.5,65,High,714,0.46,No,No,Yes,Approved,Good,High,36.84,6.46,1
9.59,Mountainous,Agricultural,15.67,2,5,10.98,83,31.6,73,Moderate,2204,13.58,No,Yes,Yes,Pending,Poor,Moderate,32.77,10.01,0
12.13,Mountainous,Commercial,5.15,8,2,6.07,210,15.5,48,High,921,6.08,No,Yes,No,Rejected,Good,Low,9.63,3.82,0
13.63,Mountainous,Forest,2.87,3,7,9.61,106,-9.7,68,High,623,0.42,No,No,Yes,Approved,Moderate,High,37.89,6.73,1
